Id;Label;indegree;outdegree;degree;clustering;Clustering Coefficient;;;;;
bc1qjtr3g7kgr3gjvumjyqtm8dmgcyuyxnq624uk5m;bc1qjtr3g7kgr3gjvumjyqtm8dmgcyuyxnq624uk5m;0;1;1;0;0;;;;;
bc1qjulchgndklncnwa29r7n7yg3mzwd5cc4tx0usc;bc1qjulchgndklncnwa29r7n7yg3mzwd5cc4tx0usc;0;1;1;0;0;;;;;
3QbCebieJeRjBjCfFfJ88f7seuiCD2KkgU;3QbCebieJeRjBjCfFfJ88f7seuiCD2KkgU;2;0;2;0;0;;;;;
3HRHkbT9ZXUSzr1xjzrRpTGrwVzXgfwWet;3HRHkbT9ZXUSzr1xjzrRpTGrwVzXgfwWet;1;2;3;0.5;0;;;;;
bc1pwru9nwrpghj5fuumkcthu9urx75w82u2q28grjsk4eterf7swtyqlmy2ky;bc1pwru9nwrpghj5fuumkcthu9urx75w82u2q28grjsk4eterf7swtyqlmy2ky;1;4;5;0.15;0.3;;;;;
bc1p996r0u6ssge33lmfer3x7t2ye8nth8nw8wel2ksaxyxkwn379wuqjljjg0;bc1p996r0u6ssge33lmfer3x7t2ye8nth8nw8wel2ksaxyxkwn379wuqjljjg1;1;2;3;0.5;0;;;;;
bc1pavnvhwy4s6809plz24y9qeuqaul47te3dtgz5afxeeragxlln6yql0vqp2;bc1pavnvhwy4s6809plz24y9qeuqaul47te3dtgz5afxeeragxlln6yql0vqp3;1;0;1;0;0;;;;;
3GHKde13vgwWCLTSzFjoDoGNkuW82WU4eD;3GHKde13vgwWCLTSzFjoDoGNkuW82WU4eD;1;4;5;0.25;0;;;;;
1Gu2kaNbGwWJpVu6Dgn3n2U2qVQ8RHr5QA;1Gu2kaNbGwWJpVu6Dgn3n2U2qVQ8RHr5QA;1;0;1;0;0;;;;;
3Bz6rwwyLyuG3cuYPKU8GXCVu24v86wdJb;3Bz6rwwyLyuG3cuYPKU8GXCVu24v86wdJb;1;0;1;0;0;;;;;
1PU8Qa5xFkCLKJzeJDPfuAaroZ1Aq3HLBP;1PU8Qa5xFkCLKJzeJDPfuAaroZ1Aq3HLBP;1;0;1;0;0;;;;;
bc1prft6pskw5tx8g4yxuzp6ukukm924rg0335946q4nr2u69j73x37s6h0f6m;bc1prft6pskw5tx8g4yxuzp6ukukm924rg0335946q4nr2u69j73x37s6h0f6m;2;2;4;1;0;;;;;
bc1pym0c29wugafed8ch7apmlen6cy6y9hxrjk3t305sychrsl7ddpqszkr8d4;bc1pym0c29wugafed8ch7apmlen6cy6y9hxrjk3t305sychrsl7ddpqszkr8d5;3;3;6;0.666667;0;;;;;
bc1phnp234rd5hel0h8ulqvnq3zrww2td0a8q48hjcg7mv67j97jnxfq9ayczm;bc1phnp234rd5hel0h8ulqvnq3zrww2td0a8q48hjcg7mv67j97jnxfq9ayczm;3;2;5;0.416667;0.666667;;;;;
bc1phf6jl26hh279pl8vlgy54gj6xtlzechqyg9fwyyvntq55u69l7uqvp6y53;bc1phf6jl26hh279pl8vlgy54gj6xtlzechqyg9fwyyvntq55u69l7uqvp6y54;12;8;20;0.042105;0.084211;;;;;
bc1q6vs80055rmkjc2m7d98xq0puhrkse8kuvy7eye;bc1q6vs80055rmkjc2m7d98xq0puhrkse8kuvy7eye;0;2;2;0;0;;;;;
bc1q25mnv6tc6ah7ftppqvfexnarupjvpdxrdt6ku3;bc1q25mnv6tc6ah7ftppqvfexnarupjvpdxrdt6ku4;0;2;2;0;0;;;;;
bc1qz24tu9r3vyzrvl094hqde0sx978syj20mamaux;bc1qz24tu9r3vyzrvl094hqde0sx978syj20mamaux;0;2;2;0;0;;;;;
1Cd6MtU57922tRgEVKN2rsBqiGASfnZXEv;1Cd6MtU57922tRgEVKN2rsBqiGASfnZXEv;3;0;3;0;0;;;;;
bc1q6jxmm29snyeazx5x5js4ykqq5kns45mnn8uzvj;bc1q6jxmm29snyeazx5x5js4ykqq5kns45mnn8uzvj;3;0;3;0;0;;;;;
bc1qvfecmwyst03965dnw5jn729z49mdzf0r8ls0d5;bc1qvfecmwyst03965dnw5jn729z49mdzf0r8ls0d6;0;1;1;0;0;;;;;
3AnAYB7RS75ReYF7WYYG3j7LTfcd8vDJKZ;3AnAYB7RS75ReYF7WYYG3j7LTfcd8vDJKZ;1;0;1;0;0;;;;;
